stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type
3814,3814,"COUNTRY VILLAGE RD @ W. of COVENTRY HILLS WY NE",,  51.161044,-114.062309,,,0
3815,3815,"COUNTRY VILLAGE RD @ E. of COUNTRY VILLAGE LI NE",,  51.160623,-114.065240,,,0
3816,3816,"Crowfoot LRT Station wb",,  51.122691,-114.206871,,,0
3817,3817,"Crowfoot LRT Station eb",,  51.122571,-114.207093,,,0
3818,3818,"TUSCANY SPRINGS HL@TUSSLEWOOD DR NW",,  51.134792,-114.249858,,,0
3819,3819,"TUSCANY SPRINGS HL@TUSCANY WY NW",,  51.132580,-114.252577,,,0
3820,3820,"TUSCANY WY@TUSCANY SPRINGS HL NW",,  51.132413,-114.253131,,,0
3821,3821,"TUSCANY WY@TUSCANY RIDGE HT NW",,  51.130870,-114.251378,,,0
3822,3822,"TUSCANY WY@TUSCANY RIDGE HT NW",,  51.130443,-114.251575,,,0
3823,3823,"TUSCANY WY@TUSCANY WY NW",,  51.129367,-114.250181,,,0
3824,3824,"TUSCANY DR@TUSCANY RIDGE CM NW",,  51.125298,-114.253867,,,0
3825,3825,"TUSCANY DR@TUSCANY BV NW",,  51.121096,-114.253788,,,0
3826,3826,"TUSCANY DR@TUSCANY RIDGE CL NW",,  51.119506,-114.251596,,,0
3827,3827,"TUSCANY DR@TUSCANY GLEN RD NW",,  51.118704,-114.249242,,,0
3828,3828,"TUSCANY GLEN RD@TUSCANY GLEN PA NW",,  51.116046,-114.250172,,,0
3829,3829,"TUSCANY GLEN PA@TUSCANY ESTATES DR NW",,  51.114609,-114.248743,,,0
3830,3830,"TUSCANY MEADOWS DR@TUSCANY MEADOWS BA NW",,  51.114669,-114.243666,,,0
3831,3831,"TUSCANY RAVINE RD@TUSCANY DR",,  51.118486,-114.241895,,,0
3832,3832,"TUSCANY WY@TUSCANY HILLS PA NW",,  51.121219,-114.244105,,,0
3833,3833,"TUSCANY WY@TUSCANY BV NW",,  51.123456,-114.245930,,,0
3834,3834,"TUSCANY BV@TUSCANY VALLEYVW NW",,  51.124991,-114.243480,,,0
3835,3835,"TUSCANY BV@TUSCANY SPRINGS BV NW",,  51.125611,-114.238884,,,0
3836,3836,"TUSCANY RAVINE RD@TUSCANY MEADOWS CM NW",,  51.116480,-114.240372,,,0
3837,3837,"CROWFOOT CR@200 CROWFOOT GA NW",,  51.128777,-114.200329,,,0
3838,3838,"CROWFOOT CR@CROWFOOT GA NW",,  51.129235,-114.201073,,,0
3839,3839,"CROWFOOT CR@CROWFOOT GA NW",,  51.127963,-114.204666,,,0
3840,3840,"Heritage LRT Station",,  50.978851,-114.075113,,,0
3841,3841,"WB COUNTRY HILLS BV@HAMPTONS BV NW (west leg)",,  51.138948,-114.157778,,,0
3843,3843,"SYMONS VALLEY RD@KINCORA GLEN RD NW",,  51.165901,-114.130012,,,0
3844,3844,"128 AV@SYMONS VALLEY RD NW",,  51.167850,-114.129877,,,0
3845,3845,"Brentwood LRT Station",,  51.086763,-114.132446,,,0
3846,3846,"110 AV @ 48 ST SE",,  50.954434,-113.965409,,,0
3847,3847,"Brentwood LRT Station",,  51.086423,-114.132167,,,0
3850,3850,"TUSCANY WY@TUSCANY BV NW",,  51.125168,-114.246800,,,0
3851,3851,"TUSCANY WY@TUSCANY VALLEY HT NW",,  51.128770,-114.249659,,,0
3852,3852,"TUSCANY VALLEY VW@TUSCANY DR NW",,  51.129143,-114.242976,,,0
3853,3853,"TUSCANY VALLEY VW@TUSCANY VALLEY GA NW",,  51.126923,-114.243808,,,0
3854,3854,"48 ST @ 110 AV SE",,  50.954346,-113.965130,,,0
3855,3855,"17 Ave & 85 St SW",,  51.037814,-114.210483,,,0
3857,3857,"Crowfoot LRT Station",,  51.123704,-114.208211,,,0
3858,3858,"Crowfoot LRT Station",,  51.124323,-114.208174,,,0
3860,3860,"SARCEE TR NW@CITADEL GR NW",,  51.145159,-114.167993,,,0
3861,3861,"SARCEE TR NW@CITADEL BV NW",,  51.144054,-114.168418,,,0
3862,3862,"SARCEE TR NW@BEACON HILL SC",,  51.158138,-114.162019,,,0
3863,3863,"Beacon Centre Private Rd@Beacon Centre Private Rd.",,  51.157634,-114.160177,,,0
3864,3864,"SHERWOOD BV NE@SHERWOOD WY NW",,  51.159888,-114.146721,,,0
3865,3865,"SHERWOOD BV NW@SHERWOOD WY NW",,  51.160386,-114.147234,,,0
3866,3866,"SHERWOOD BV NW@east of SHERWOOD LI NW",,  51.160660,-114.149620,,,0
3867,3867,"52 ST @ MCKENZIE TOWNE TERMINAL",,  50.915315,-113.957142,,,0
3868,3868,"52St @ New Brighton Dr SE NB Farside",,  50.930814,-113.958194,,,0
